,Sentence,metaphore,target_domain,source_domain,highlighted_aspect,PartOf,Causes,IsA,DefinedAs
80,"Severson argues that Minnesota has a ""corrupt election system"" and told delegates it is ""time for a conservative secretary of state.""",corrupt,Elections,Contamination/Crime,Threatened,"[' he is elected secretary of state', ' he is elected secretary of state.', ' he gets a lot of attention']","[' responsible', ' political', ' conservative']","[' good about themselves', ' good about themselves.', ' good about himself']","[' they get a new secretary of state', ' they get a new secretary of state.', ' he gets a lot of attention from the media']"
81,"You do realize, that when you distill government down to its most basic form, it is nothing more than a monopoly on force?",distill,Government,Resource,Change Type,"[' you have a monopoly on power', ' powerful', ' you have a monopoly on the government']","[' powerful', ' controlling', ' dominant']","[' powerful', ' power', ' controlling']","[' government is a monopoly', ' power', ' you know what you know']"
82,you throw the term INSANE around a lot when the real insanity comes from the garment soiling gun haters who are either terrified of the fact that others make personal safety their individual responsibility or hate conservatives and think attacking gun rights is just punishment for us being against nanny state collectivism.,attacking,Gun Rights,Struggle/War,Threatened,"[' none', ' get arrested', ' get arrested for it']","[' none', ' get arrested', ' people get hurt']","[' none', ' get arrested', ' get arrested for it']","[' none', ' get arrested', ' get arrested for it']"
83,Gun control produces a net increase of crime.,produces,Control of Guns,Factory,Business,"[' none', ' gun control is illegal', ' gun control is ineffective']","[' gun control is illegal in the United States.', ' gun control is illegal in the United States', ' gun control is bad for society']","[' gun control', ' gun violence', ' gun control is illegal']","[' crime rate increases', ' gun violence', ' gun control']"
84,"I may be in a tiny minority, but I believe that Confucianism and democracy are wholly compatible, precisely because democracy greases the machinery, providing a simple means of overthrowing a corrupt leader without risking the stability of society.",greases,Democracy,Machine,Facilitator,"[' none', ' I am not sure if I believe in democracy.', ' I am not sure if I believe in democracy or not']","[' peaceful', ' powerful', ' happy']","[' none', ' I am not a communist.', ' I am a communist.']","[' none', ' I am not a communist.', ' I am a communist.']"
85,Not sure if that qualifies as a gun myth but its certainly mythical (see what I did there?),myth,Guns,A God,Worshipper,"[' none', ' get shot', ' get shot at']","[' not a real person', ' not a real gun', ' not a real thing']","[' none', ' not a real person', ' not a real thing']","[' none', ' not a real person', ' not a real thing']"
86,"Once government gets involved, prices go up and bureaucracy burdens the system to an unsustainable degree.",burdens,Bureaucracy,Physical Burden,Barrier,"[' none', ' get a raise', ' get rich']","[' bad for the environment', ' bad for the economy', ' bad for the people']","[' government is bad for the economy', ' government is bad for the economy.', ' government is bad for the environment']","[' get more work done', ' get rich', ' get more money']"
87,Apparently the rise in crime following gun control brought about new control measures to undo the damage of gun control.,damage,Control of Guns,Physical Harm,Threat,"[' none', ' have less money', ' have less guns']","[' gun control', ' gun violence', ' gun control laws']","[' gun control', ' gun control is illegal', ' have less guns']","[' none', ' gun control', ' get arrested']"
88,"It's called ""Democracy"", and the bulwarks against the tyranny of the masses have been eroded something fierce since we were founded (we're a republic precisely b/c the founders of this nation saw how evil democracy is, as bad or worse than arbitrary divine right kings).",evil,Democracy,Monster,Threat,"[' none', "" it's not a good idea"", "" it's not a good thing""]","["" it's not a good idea"", "" it's not good for the country"", "" it's not a good thing""]","["" it's not a good idea"", ' none', "" it's not a good thing""]","[' none', "" it's not a good idea"", "" it's not a good thing""]"
89,» Norton resident uses hobby to fight poverty in Honduras,fight,Poverty,Struggle,Side,"[' none', ' have a better life', ' have a good time']","[' PersonY gets a new hobby.', ' PersonY gets a job in Honduras.', ' PersonY gets a job in the country.']","[' PersonY buys the hobby from PersonY.', ' PersonY buys the hobby from PersonY', ' PersonY buys the hobby from PersonX.']","[' PersonY buys the hobby from PersonY.', ' PersonY buys the hobby from PersonY', ' PersonY buys the hobby from personY.']"
90,"The E100 is not quite the shiny, strokable wonder that was the Clix, but it does have a pared-back, elegant design that gives Apple a run for its (mountain of) money.",mountain,Wealth,Hazardous Geographic Feature,Level,"[' the E100 is not as flashy as the Clix', ' the E100 is not as flashy as the Clix.', ' the E100 is not as flashy as the Clix was']","[' happy', ' smart', ' proud']","[' the E100 is not as flashy as the Clix', ' the E100 is not as flashy as the Clix.', ' the E100 is not as flashy as the Clix was']","[' the E100 is not as flashy as the Clix', ' the E100 is not as flashy as the Clix.', ' the E100 is not as good as the Clix']"
91,The money you spend on running shoes could feed me for a week Your plans are laid so well that you can't even sleep,feed,Wealth,Food,Beneficial,"[' PersonY buys shoes for PersonY', ' PersonY buys shoes for PersonY.', ' PersonX buys shoes for PersonX']","[' successful', ' happy', ' tired']","[' PersonY buys a new pair of shoes for PersonY.', ' PersonY buys a new pair of shoes.', ' PersonY buys a new pair of shoes for PersonY']","[' PersonX buys a new pair of shoes.', ' PersonX buys a new pair of shoes for PersonX', ' PersonX buys a new pair of shoes for PersonX.']"
92,"Like many beautiful ideas, however, democracy travels through our minds shadowed by its doubles – bad ideas that are close enough to easily mistaken for the real thing.",travels,Democracy,Journey,Agent,"[' none', ' like a good idea', ' like the idea']","[' likeable', ' bad', ' smart']","[' like a bad idea', ' likeable', ' like a bad movie']","[' none', ' like a bad idea', ' like many other ideas']"
93,"That's because higher taxes relieve the pressure to solve the spending problem, making the later solution even more expensive for taxpayers.",relieve,Taxation,Medicine,Protection,"[' pay more taxes', ' pay more', ' pay more taxes.']","[' that the problem is solved', ' tax increase', ' that the problem is not solved']","[' tax increase', ' tax increases', ' that the problem is solved']","[' pay more taxes', ' tax increase', ' pay more']"
